Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11021,679943,Father's incarceration,218,55,1,79.6364,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:16 UTC,TRUE,141,152,NA
11021,679949,Mother's incarceration,212,59,1,78.022,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:50:51 UTC,TRUE,138,149,NA
11021,680334,Parents' substance abuse,102,32,0,75.7353,TRUE,4986202,2017-06-29 15:29:59 UTC,2017-06-29 15:50:02 UTC,TRUE,77,66,NA
11021,679959,Divorce or separation,214,77,3,73.3788,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:10 UTC,TRUE,171,143,NA
11021,679963,Income to poverty ratio,202,81,3,71.2281,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:48:29 UTC,TRUE,153,154,NA
11021,679961,Household income,180,85,2,67.7903,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:03 UTC,TRUE,158,128,NA
11021,680383,Mother has chronic illness,9,5,0,62.5,TRUE,4986112,2017-06-29 15:42:26 UTC,2017-06-29 15:51:10 UTC,TRUE,4,12,NA
11021,679941,Father absent at time of birth,168,108,9,60.7914,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:50:28 UTC,TRUE,141,160,NA
11021,680336,Number of times father has missed work,64,46,3,58.0357,TRUE,4986112,2017-06-29 15:31:02 UTC,2017-06-29 15:50:43 UTC,TRUE,61,58,NA
11021,679945,Father's non-standard work hours,162,126,8,56.2069,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:08 UTC,TRUE,171,145,NA
11021,679948,Mother's age at childbirth,163,155,1,51.25,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:50:37 UTC,TRUE,169,168,NA
11021,679951,Mother's non-standard work hours,133,127,7,51.145,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:50:53 UTC,TRUE,139,136,NA
11021,679954,Number of parental romantic relationships,143,138,8,50.8834,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:14 UTC,TRUE,162,140,NA
11021,679950,Mother's multiple-job holding,140,138,6,50.3571,FALSE,4985342,2017-06-29 01:17:10 UTC,2017-06-29 15:51:05 UTC,TRUE,159,142,NA
11021,680390,Child's disability,0,0,0,50.0,TRUE,4986280,2017-06-29 15:46:59 UTC,2017-06-29 15:46:59 UTC,FALSE,0,0,NA
11021,680388,extended family is very important for help with equality,0,0,0,50.0,TRUE,4986276,2017-06-29 15:43:54 UTC,2017-06-29 15:43:54 UTC,FALSE,0,0,NA
11021,680387,Behavior,0,0,0,50.0,TRUE,4986282,2017-06-29 15:43:45 UTC,2017-06-29 15:43:45 UTC,FALSE,0,0,NA
11021,680385,I believe that a child can always be in a happy home if they have family,0,0,0,50.0,TRUE,4986276,2017-06-29 15:43:15 UTC,2017-06-29 15:43:15 UTC,FALSE,0,0,NA
11021,680382,poverty,0,0,0,50.0,TRUE,4986274,2017-06-29 15:42:14 UTC,2017-06-29 15:42:14 UTC,FALSE,0,0,NA
11021,680380,Health status of household members,0,0,0,50.0,TRUE,4986219,2017-06-29 15:40:12 UTC,2017-06-29 15:40:12 UTC,FALSE,0,0,NA
11021,680378,Their education,0,0,0,50.0,TRUE,4986262,2017-06-29 15:38:12 UTC,2017-06-29 15:38:12 UTC,FALSE,0,0,NA
11021,680377,father's substance abuse mother's substance abuse child's smoking,0,0,0,50.0,TRUE,4986237,2017-06-29 15:36:11 UTC,2017-06-29 15:36:11 UTC,FALSE,0,0,NA
11021,680376,money,0,0,0,50.0,TRUE,4986244,2017-06-29 15:35:50 UTC,2017-06-29 15:35:50 UTC,FALSE,0,0,NA
11021,680374,Both parents are illegal migrants and can be evicted with the child.,0,0,0,50.0,TRUE,4986232,2017-06-29 15:34:44 UTC,2017-06-29 15:34:44 UTC,FALSE,0,0,NA
11021,680373,times i slept in,0,0,0,50.0,TRUE,4986239,2017-06-29 15:34:00 UTC,2017-06-29 15:34:00 UTC,FALSE,0,0,NA
11021,680335,Single or double parent household,0,0,0,50.0,TRUE,4986202,2017-06-29 15:30:13 UTC,2017-06-29 15:30:13 UTC,FALSE,0,0,NA
11021,680333,Household income,0,0,0,50.0,TRUE,4986202,2017-06-29 15:29:24 UTC,2017-06-29 15:29:24 UTC,FALSE,0,0,NA
11021,680332,predictors of eviction,0,0,0,50.0,TRUE,4986194,2017-06-29 15:29:09 UTC,2017-06-29 15:29:09 UTC,FALSE,0,0,NA
11021,680331,"predictors of eviction, net of missed rental payments and other relevant.",0,0,0,50.0,TRUE,4986194,2017-06-29 15:28:56 UTC,2017-06-29 15:28:56 UTC,FALSE,0,0,NA
11021,680330,Place of birth,0,0,0,50.0,TRUE,4986191,2017-06-29 15:28:48 UTC,2017-06-29 15:28:48 UTC,FALSE,0,0,NA
11021,680329,mother's level of income (in $/h),0,0,0,50.0,TRUE,4986180,2017-06-29 15:28:30 UTC,2017-06-29 15:28:30 UTC,FALSE,0,0,NA
